id;cue;sector;nombre;nro_escuela
423;2202497;Gestión social/cooperativa;E.P.G.S. Nº 5 - ASOC. DE IGLESIAS EVANGELICAS MARANATHA;5
424;2202507;Privado;U.E.G.P Nº 93 (UEP Nº 93) C.E.A;93
425;2202511;Privado;U.E.G.P Nº 175 - INSTITUTO SUPERIOR NUEVA GENERACION;175
426;2202514;Privado;U.E.G.P Nº 15 - INSTITUTO PRIVADO CHACO;15
427;2202521;Privado;U.E.G.P Nº 166 - INS.SUP.DE NEUROSICOLOGIA;166
428;2202533;Privado;U.E.G.P Nº 207 - FUNDACION MEMPO GIARDINELLI;207
429;2202541;Gestión social/cooperativa;E.P.G.S. Nº 5 - ASOC. DE IGLESIAS EVANGELICAS MARANATHA;5
430;2202550;Gestión social/cooperativa;E.P.G.S. Nº 9 - FUNDACION GASTON;9
431;2202563;Privado;U.E.G.P Nº 200 - FUNDACION DEPORTIVO SOCIAL CHACO;200
432;2202574;Gestión social/cooperativa;E.P.G.S Nº 12 - JUAN DOMINGO PERON;12
433;2202575;Gestión social/cooperativa;P.E - C.E.F - B° EMERENCIANO-;
434;2202576;Gestión social/cooperativa;E.P.G.S N°9-FUNDACION GASTON-MODELO DE -CEF-;9
435;2202580;Gestión social/cooperativa;E.P.G.S. Nº 14 - LA MASCARA;14
436;2202582;Privado;U.E.G.P Nº 208;208
437;2202611;Privado;U.E.G.P Nº 218;218
438;2202615;Privado;U.E.G.P Nº 114 (FP) - UNIVERSIDAD POPULAR DE RESISTENCIA;114
439;2202638;Privado;U.E.G.P Nº 225;225
440;2202643;Privado;U.E.G.P Nº 224 - JACINTO AMARO SAMPAYO;224
441;2202644;Privado;U.E.G.P Nº 212 - INSTITUTO DE NIVEL SUPERIOR;212
442;2202674;Estatal;P.E. RODOLFO WALSH (FORMACION DE AUXILIARES DOCENTES);
443;2202688;Gestión social/cooperativa;E.P.G.S. Nº 6 -CARLOS ARMANDO ROLON (EX P-E BLA ZONA SUR)F.P;
444;2202702;Privado;U.E.G.P Nº 177 (UEP Nº 177) NUESTRA VOZ;
445;2202704;Gestión social/cooperativa;E.P.G.S. Nº 15 (EX P.E. BLA)-MARIANO FERREYRA-;
446;2202705;Privado;U.E.G.P Nº 236;
447;2202706;Privado;U.E.G.P Nº 237;
448;2202710;Privado;U.E.G.P Nº 235;
449;2202718;Estatal;PLATAFORMA VIRTUAL -ELE-;
450;2201002;Estatal;E.E.E. Nº 2 - TELMA RECA;2
451;2201793;Privado;U.E.G.P Nº 108 (UEP Nº 108) CENTRO EDUCATIVO TERAPEUTICO SOL;108
452;2201863;Privado;U.E.G.P Nº 121 (UEP Nº 121) CENTRO EDUC.TERAPEUTICO INSTITUTO BARRILETE;121
453;2202695;Estatal;P.E. S.O.M.O.S;
454;2200952;Estatal;E.S.J.A Nº 1 - JUANA DE IBARBOUROU (EX BLA 1);1
455;2200961;Estatal;E.P.A Nº 30 JUAN XXIII;30
456;2201010;Estatal;E.P.A Nº 37 ESCULTOR CHAQUEÑO FABRICIANO GOMEZ;37
457;2201031;Estatal;E.P.A Nº   36;36
458;2201326;Estatal;E.P.A Nº 21 PABLO A.PIZZURNO ;21
459;2202151;Gestión social/cooperativa;E.P.G.C.B.I.I. Nº 1 (EX UEP Nº 30);1
460;2202156;Estatal;E.S.J.A Nº 12 (EX BLA 12 - EX-MEVAL);12
461;2202264;Estatal;E.S.J.A Nº 14 (EX BLA 14);14
